iter	Passed	Remaining
0	4	405
1	7	384
2	11	381
3	15	363
4	19	365
5	22	359
6	27	360
7	31	357
8	34	349
9	37	335
10	39	318
11	41	303
12	43	290
13	45	277
14	46	264
15	48	253
16	49	243
17	51	233
18	52	224
19	53	215
20	55	207
21	56	200
22	57	192
23	58	186
24	60	180
25	61	176
26	63	170
27	64	165
28	66	161
29	67	157
30	68	153
31	70	149
32	71	145
33	73	142
34	75	140
35	76	136
36	78	133
37	79	129
38	80	126
39	82	123
40	84	122
41	85	118
42	86	115
43	88	112
44	90	110
45	91	107
46	92	104
47	94	102
48	95	99
49	96	96
50	97	94
51	99	91
52	100	89
53	101	86
54	102	83
55	103	81
56	105	79
57	106	77
58	107	74
59	108	72
60	110	70
61	111	68
62	112	66
63	113	63
64	114	61
65	116	60
66	117	58
67	119	56
68	120	54
69	122	52
70	123	50
71	125	48
72	127	47
73	128	45
74	129	43
75	131	41
76	132	39
77	133	37
78	135	35
79	136	34
80	137	32
81	138	30
82	140	28
83	141	26
84	142	25
85	143	23
86	144	21
87	146	19
88	147	18
89	148	16
90	149	14
91	150	13
92	152	11
93	153	9
94	155	8
95	156	6
96	157	4
97	159	3
98	161	1
99	162	0
